x,y,z,yaw,velocity,mission
0,0,0,0.7019,4,0
1,0.587785252292473,0,0.8334,4,0
1.5,0.809016994374947,0,0.9917,4,0
2,0.951056516295153,0,1.1641,4,0
2.5,1,0,1.3408,4,0
3,0.951056516295154,0,1.5217,4,0
3.5,0.809016994374947,0,1.6489,4,0
4,0.587785252292473,0,1.762,4,0
4.5,0.309016994374947,0,1.8547,4,0
5,1.22464679914735E-16,0,1.9225,4,0
5.5,-0.309016994374947,0,1.9744,4,0
6,-0.587785252292473,0,2.0106,4,0
6.5,-0.809016994374947,0,2.0362,4,0
7,-0.951056516295153,0,2.0549,4,0
7.5,-1,0,2.0661,4,0
8,-0.951056516295154,0,2.0668,4,0
8.5,-0.809016994374947,0,2.0631,4,0
9,-0.587785252292473,0,3.0631,4,0
